trip_id,passenger_name,age,city,transport_mode,distance_km,fare,trip_start,trip_end,rating,weather_condition,payment_method
TRP10000,LORI JOHNSTON,45.0,CHENNAI,AUTO,7.84,893.93,2026-01-19 11:50:00,,0.0,RAINY,CASH
TRP10001,,45.0,MUMBAI,BIKE,25.759999999999998,523.57,,2025-09-03 04:51:59,1.4,FOG,CARD
TRP10002,,32.0,DELHI,METRO,7.12,755.1700000000001,2026-02-18 03:42:00,,5.0,SUNNY,CARD
TRP10003,DYLAN STEPHENSON,70.0,PUNE,BIKE,25.759999999999998,755.1700000000001,,,0.0,SUNNY,UPI
TRP10004,NICOLAS NOVAK,45.0,MUMBAI,AUTO,34.55,755.1700000000001,,2025-10-26 23:22:51,0.0,SUNNY,CARD
TRP10005,JERRY HILL,45.0,DELHI,TAXI,25.759999999999998,755.1700000000001,2025-09-15 05:59:00,2025-09-15 07:36:25,3.0,SUNNY,CASH
TRP10006,JOY DELGADO,45.0,PUNE,BUS,30.2,803.09,,,4.9,SUNNY,CASH
TRP10007,JOSEPH,45.0,BANGALORE,BUS,25.759999999999998,1458.39,,,5.0,RAINY,CARD
TRP10008,KYLE VELASQUEZ,65.0,DELHI,WALK,25.759999999999998,755.1700000000001,,2026-02-24 13:30:48,4.5,SUNNY,CASH
TRP10009,BRANDI GLASS,20.0,BANGALORE,TAXI,25.759999999999998,755.1700000000001,,,4.9,STORM,CASH
TRP10010,JOHN,73.0,DELHI,BUS,13.15,360.57,,,5.0,SUNNY,CASH
TRP10011,VALERIE,45.0,KOLKATA,BUS,7.5,755.1700000000001,,2025-09-17 06:27:34,4.9,STORM,WALLET
TRP10012,SARAH LAWRENCE,71.0,MUMBAI,METRO,20.73,755.1700000000001,,2025-11-13 01:57:31,5.0,SUNNY,CASH
TRP10013,MADELINE SHANNON,71.0,MUMBAI,METRO,32.96,1391.02,,,6.0,SUNNY,UPI
TRP10014,TAMMY PHILLIPS,45.0,DELHI,BIKE,47.9,249.1,,2026-03-17 05:49:26,4.0,SUNNY,CASH
TRP10015,LISA VELEZ,74.0,BANGALORE,METRO,25.759999999999998,120.58,,,0.0,SUNNY,CASH
TRP10016,TIMOTHY STEWART,58.0,MUMBAI,METRO,25.759999999999998,755.1700000000001,,2026-01-26 13:26:11,0.0,CLOUDY,CASH
TRP10017,ANTHONY SHEA,29.0,KOLKATA,TAXI,25.759999999999998,755.1700000000001,,2026-01-14 23:36:50,0.0,FOG,CASH
TRP10018,KRISTEN MARQUEZ,45.0,MUMBAI,BUS,25.759999999999998,1082.07,,,3.0,SUNNY,CASH
TRP10019,SAMANTHA GRAY,69.0,DELHI,WALK,25.759999999999998,755.1700000000001,,2026-05-09 15:26:45,5.0,CLOUDY,CASH
TRP10020,JACOB,45.0,PUNE,TAXI,3.05,330.91,,,6.0,CLOUDY,CASH
TRP10021,SARAH ALEXANDER,45.0,BANGALORE,TAXI,25.759999999999998,629.34,2025-07-19 04:56:00,,1.4,SUNNY,WALLET
TRP10022,JOSHUA ANDERSON,45.0,HYDERABAD,BIKE,25.759999999999998,755.1700000000001,,,0.0,STORM,CASH
TRP10023,,37.0,KOLKATA,TAXI,29.45,755.1700000000001,,,0.0,RAINY,CARD
TRP10024,JENNA BLACKWELL,61.0,MUMBAI,METRO,25.759999999999998,755.1700000000001,,,4.9,CLOUDY,CARD
TRP10025,ANGELICA MANN,45.0,MUMBAI,TAXI,33.6,755.1700000000001,,2025-11-05 15:20:35,5.0,STORM,CASH
TRP10026,,45.0,DELHI,BUS,25.759999999999998,755.1700000000001,2026-02-26 13:03:00,,5.0,RAINY,CASH
