trip_id,passenger_name,age,city,transport_mode,distance_km,fare,trip_start,trip_end,rating,weather_condition,payment_method
TRP10000,Lori Johnston,N/A,Chennai,Auto,7.84,893.93,19/01/2026 11:50 AM,,-1,Rainy,
TRP10001,,,,Bike,unknown,₹523.57,09-03-2025 03:51,2025-09-03 04:51:59,1.4,Fog,Card
TRP10002,,32,delhi,metro,7.12,,18/02/2026 03:42 AM,,five,sunny,Card
TRP10003,Dylan Stephenson,70,Pune,Bike,unknown,,2025-08-04 01:31:48,,-1,,UPI
TRP10004,NICOLAS NOVAK,N/A, Mumbai ,Auto,34.55,,10-26-2025 21:35,2025-10-26 23:22:51,-1,,Card
TRP10005,JERRY HILL,,delhi,Taxi,,error,15/09/2025 05:59 AM,2025-09-15 07:36:25,3.0,sunny,Cash
TRP10006,Joy Delgado,twenty five,Pune,Bus,30.2,803.09,2025-06-07 16:53:25,,,sunny,
TRP10007,Joseph,,Bangalore,BUS ,,1458.39,10-25-2025 03:37,,five,Rainy,Card
TRP10008,KYLE VELASQUEZ,65,Delhi,Walk,,,2026-02-24 12:24:48,2026-02-24 13:30:48,4.5,Sunny,
TRP10009, Brandi Glass ,20,Bangalore,Taxi,unknown,error,,,,storm,
TRP10010,John,73,delhi,Bus,13.15,₹360.57,2026-02-07 22:41:10,,five,Sunny,Cash
TRP10011,Valerie,twenty five,Kolkata,BUS ,7.5,error,2025-09-17 05:34:34,2025-09-17 06:27:34,,storm,wallet
TRP10012, Sarah Lawrence ,71,Mumbai,Metro,20.73,error,invalid_date,2025-11-13 01:57:31,five,sunny,Cash
TRP10013, Madeline Shannon ,71,Mumbai,Metro,32.96,₹1391.02,invalid_date,15-08-2025 23:28,6,Sunny,UPI
TRP10014, Tammy Phillips ,N/A,delhi,Bike,47.9,249.1,,2026-03-17 05:49:26,4.0,Sunny,cash 
TRP10015, Lisa Velez ,74,Bangalore,Metro,unknown,₹120.58,2026-03-24 13:20:08,,-1,Sunny,cash 
TRP10016,Timothy Stewart,58,,metro,,,01-26-2026 11:24,2026-01-26 13:26:11,-1,Cloudy,Cash
TRP10017,Anthony Shea,29,Kolkata,Taxi,unknown,,,2026-01-14 23:36:50,-1,Fog,
TRP10018,Kristen Marquez,N/A,Mumbai,Bus,,₹1082.07,09-07-2025 19:26,,3.0,Sunny,
TRP10019, Samantha Gray ,69,Delhi,Walk,,error,2026-05-09 12:58:45,2026-05-09 15:26:45,five,Cloudy,Cash
TRP10020,Jacob,twenty five,Pune,Taxi,3.05,₹330.91,2026-04-14 21:22:41,15-04-2026 00:17,6,Cloudy,
TRP10021,SARAH ALEXANDER,twenty five,Bangalore,Taxi,,₹629.34,19/07/2025 04:56 AM,,1.4,sunny,wallet
TRP10022,JOSHUA ANDERSON,,Hyderabad,Bike,unknown,,2025-10-17 23:27:55,18-10-2025 00:43,-1,storm,
TRP10023,,37,Kolkata,Taxi,29.45,,,,-1,Rainy,Card
TRP10024,Jenna Blackwell,61, Mumbai ,metro,unknown,,05-06-2026 05:02,,,Cloudy,Card
TRP10025, Angelica Mann ,N/A, Mumbai ,Taxi,33.6,,,2025-11-05 15:20:35,five,storm,cash 
TRP10026,,,delhi,BUS ,unknown,,26/02/2026 01:03 PM,,five,Rainy,Cash
TRP10027,Kathryn Roberts,46,Mumbai,BUS ,unknown,error,10/04/2026 11:44 AM,,3.8,sunny,wallet
TRP10028,BRIDGET MAY,67,delhi,Metro,28.31,,,,6,sunny,cash 
TRP10029, Patrick Brady ,,delhi,Bike,,₹791.52,invalid_date,2025-08-01 07:18:28,five,Fog,Card
TRP10030,Trevor,73,Bangalore,Taxi,unknown,error,2025-06-14 00:12:20,2025-06-14 02:03:20,6,sunny,cash 
TRP10031,Hannah Adams,72,Pune,BUS ,18.2,error,,,6,Rainy,Card
TRP10032, Jesse Jacobs ,,Hyderabad,train,unknown,error,,,6,Rainy,wallet
TRP10033,KATHERINE RHODES,,Hyderabad,Auto,17.5,error,2025-11-06 08:02:45,06-11-2025 09:11,-1,Sunny,Card
TRP10034,CAITLIN EVANS,57,Delhi,Auto,unknown,373.05,15/10/2025 09:32 PM,16-10-2025 00:01,,Rainy,cash 
